owner_repo,C1,C2,C3,usage,mode_integration,confiance,preuve,penalite,motif
usestrix/strix,5,4,5,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Arbo propre (strix/ skills/ containers/ benchmarks/), orchestration multi-agents, validation d'exploit réelle. Le plus proche de notre cible côté agent."
vxcontrol/pentagi,5,3,5,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Backend/frontend séparés, sandbox Docker, observabilité Langfuse, graphe Graphiti, multi-LLM, multi-tenant. Go + EULA à côté de la LICENSE : à lire avant ADAPT."
KeygraphHQ/shannon,4,3,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Monorepo pnpm (apps/ repos/ workspaces/), llms.txt pour consommation par IA, section 'Safety, Scope and Limitations'. AGPL-3.0 -> G2."
PurpleAILAB/Decepticon,5,4,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"SPEC.md + TELEMETRY.md + CONTRIBUTING_AGENT.md, LangGraph, LiteLLM, Neo4j, sandbox, spécialistes démarrés à la demande. La doc d'archi la plus aboutie du lot."
aliasrobotics/cai,5,2,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"ARCHIVÉ (août 2026) mais 18 papiers et 30+ CVE : artefact de recherche. À étudier pour l'architecture, jamais pour le code. G5."
GreyDGL/PentestGPT,3,3,3,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Migration legacy -> unified_agent documentée par des rapports de migration. Intéressant pour la trajectoire, pas comme architecture de référence."
Ed1s0nZ/CyberStrikeAI,5,3,5,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,agents/ skills/ plugins/ mcp-servers/ knowledge_base/ roles/ : découpage par rôle et par capacité. Se revendique 'intent becomes governed execution' = notre fil conducteur.
Tencent/AI-Infra-Guard,4,4,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,agent-scan/ mcp-scan/ skill-scan/ skills/ : trois surfaces d'analyse distinctes. Bon modèle de séparation des scanners.
0x4m4/hexstrike-ai,2,3,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Deux fichiers Python. Le 'decision engine' et les 12 agents sont dans un monolithe : aucune architecture à reprendre, mais le catalogue d'outils MCP est utile."
samugit83/redamon,4,3,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,recon_orchestrator/ + graph_db/ + skills/ + boucle triage -> fix -> PR. La boucle DETECT -> FIX -> VERIFY de notre Phase 11 existe déjà ici.
GH05TCREW/pentestagent,3,3,3,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Petit, Docker/Kali, mcp_examples. Utile comme exemple minimal, pas comme référence."
TracecatHQ/tracecat,5,4,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Sandboxé par défaut via nsjail, exécution sur Temporal, automations code-native. La réponse la plus complète à 'comment exécuter du code tiers sans se tirer une balle'. AGPL -> G2."
StackStorm/st2,5,4,3,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"st2api/st2reactor/st2actions/st2auth/st2stream/st2common : séparation capteurs/règles/actions éprouvée depuis 10 ans. Le modèle 'pack' = notre capability registry, version mature."
TheHive-Project/Cortex,5,3,3,outil externe,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Le modèle analyzer/job est l'abstraction capability -> provider la plus littérale qui existe, avec flavors. Scala, AGPL -> G2. À lire pour le modèle, pas pour le code."
nsacyber/WALKOFF,3,2,2,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,ARCHIVÉ et dernier commit 2020. app_sdk/ montre un modèle d'app packagée ; le reste a vieilli. G1 + G5.
temporalio/temporal,5,4,2,composant d'infrastructure,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Exécution durable, rejeu déterministe. Ne couvre rien en sécurité mais résout le problème d'orchestration longue durée mieux que tout le reste."
langchain-ai/langgraph,4,4,2,code réutilisable,SDK,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Graphe d'états pour agents. Infrastructure de planner possible, aucun contenu sécurité."
